well_id,mtpi,elevation_m,mean_depth_to_water_m,clay,sand,silt,state,precip_gini,recharge_gini,kuma_a,kuma_b,lat,lon,nlcd_code,landcover,landcover_simple,n_events,total_precip_mm,total_recharge_mm,recharge_efficiency
411833075133601,-1,535.984069824,10.63033553659142,14.4,48.0,37.6,Pennsylvania,0.4723887542704205,0.69798939042511,0.8656092696809805,0.672599219968947,41.30919444,-75.2268611,90,Woody Wetlands,Wetland,763,13860.54,45688.85507933758,3.2963257621519495
411958079540202,25,463.613464355,33.38708897352342,24.1,31.9,43.9,Pennsylvania,0.4404091519631294,0.662544822864331,0.9812404039185496,0.9688934382414476,41.3315833,-79.9002222,41,Deciduous Forest,Forest,542,11621.46,38877.366886155156,3.345308324957033
412020079133901,15,476.183258057,11.087284194583752,20.1,30.3,49.6,Pennsylvania,0.4228656239180464,0.6211780320615274,0.9136830226340406,0.9475584771228036,41.33677778,-79.2255278,43,Mixed Forest,Forest,208,4607.94,21394.145267922522,4.6428871183050395
412154071462901,-1,14.529078484,3.795352586565752,,,,Rhode Island,0.4744643701446258,0.6465611522248491,1.0712926662154258,0.9167146303902204,41.36509999,-71.7742336,81,Pasture/Hay,Agriculture,734,15620.970000000001,41934.825178400344,2.6845212031263324
412429073165101,-19,79.676467896,1.777495559733379,14.3,47.5,38.2,Connecticut,0.4825210307852452,0.6682188086235887,1.1130535700350987,0.9311342490673938,41.40820556,-73.28055,81,Pasture/Hay,Agriculture,673,15371.510000000002,63946.64430605264,4.160075640327634
412637074362301,-19,143.278915405,1.9822538108002608,13.8,44.5,41.7,New York,0.4845984751548156,0.687680357329348,1.084668482893486,0.8200666831051415,41.4436111,-74.60638889,82,Cultivated Crops,Agriculture,1070,23002.28,50512.10109613996,2.1959606219966004
412714073331301,-20,129.762207031,0.8450878168533854,11.9,49.4,38.6,New York,0.4844876507585365,0.6338273747043874,1.0180529600472252,0.899611378907413,41.4541111,-73.5533611,81,Pasture/Hay,Agriculture,832,18315.839999999997,55947.367418409674,3.054589219954405
412823079030601,10,541.47857666,2.651128225893958,23.1,29.6,47.3,Pennsylvania,0.4403113548303635,0.5283565140330913,1.0120084076957976,1.1610600582687511,41.4734722,-79.0508333,21,"Developed, Open Space",Developed,1227,25517.61,92502.17830336739,3.625032998912021
412825072410501,-10,50.09482193,3.306986710012105,14.1,45.3,40.6,Connecticut,0.4698216436013595,0.5739245559511728,1.1298156237572865,1.058718020292238,41.47270556,-72.6839083,81,Pasture/Hay,Agriculture,705,16568.050000000003,90919.85160997958,5.487661590228154
412918071321001,-6,34.619823456,3.5739987806413995,,,,Rhode Island,0.4755603099130735,0.6644539705707087,0.924548428121021,0.7862299844755012,41.48843449,-71.5356159,24,"Developed, High Intensity",Developed,740,17973.27,34839.82515914579,1.9384244024123483
412932071374302,-8,34.017307281,2.0973023788054848,8.6,39.6,51.7,Rhode Island,0.4739497666601724,0.610099622228544,0.9916684153332078,0.8324237789504564,41.49232259,-71.6281194,24,"Developed, High Intensity",Developed,1278,31465.08,61806.418232514225,1.9642860667290285
413026076352901,-54,322.415863037,8.138854833885905,14.2,39.6,46.2,Pennsylvania,0.4200673566029048,0.5234041975561847,0.8646356868256027,0.780499430608037,41.50705556,-76.59025,81,Pasture/Hay,Agriculture,895,13954.13,78356.48999612371,5.615290239959332
