well_id,lat_x,lon_x,n_events_x,precip_gini,recharge_gini,mtpi,elevation_m,mean_depth_to_water_m,clay,sand,silt,lat_y,lon_y,state,n_events_y,total_precip_mm,total_recharge_mm
410928074522801,41.1578732,-74.8740579,502,0.3676293642083893,0.5722104389775569,-26,125.853530884,7.8033410449947676,18.2,38.7,43.0,41.1578732,-74.8740579,New Jersey,502,16588.53,52892.48318815784
411223075234901,41.20669444,-75.3966111,1004,0.3763175666419877,0.5357356720082611,-1,604.985473633,3.3739885781088823,14.4,46.5,39.1,41.20669444,-75.3966111,Pennsylvania,1004,33996.020000000004,251086.49796940532
411756076162701,41.29941667,-76.2745,855,0.35029335664494377,0.6222724323032871,-27,388.191101074,9.967451806653528,19.6,34.9,45.5,41.29941667,-76.2745,Pennsylvania,855,25447.25,156376.31371079083
411832072325501,41.30890556,-72.5480694,230,0.3323593113951042,0.4836021332804864,14,62.85918808,1.519541392857143,8.6,51.7,39.7,41.30890556,-72.5480694,Connecticut,230,7077.17,50140.75478018823
411833075133601,41.30919444,-75.2268611,775,0.37674795492074753,0.6584670848752352,-1,535.984069824,10.630335536591419,14.4,48.0,37.6,41.30919444,-75.2268611,Pennsylvania,775,26286.78,486266.2253696556
411958079540202,41.3315833,-79.9002222,434,0.31930764163896663,0.6585182985049849,25,463.613464355,33.38708897352342,24.1,31.9,43.9,41.3315833,-79.9002222,Pennsylvania,434,12605.25,73140.42502993428
412020079133901,41.33677778,-79.2255278,381,0.32409462228230757,0.5354781534689055,15,476.183258057,11.087284194583752,20.1,30.3,49.6,41.33677778,-79.2255278,Pennsylvania,381,11008.119999999999,261069.27282537674
412154071462901,41.36509999,-71.7742336,479,0.3460939838343786,0.5488866929861825,-1,14.529078484,3.7953525865657523,,,,41.36509999,-71.7742336,Rhode Island,479,14302.72,40576.792847141594
412429073165101,41.40820556,-73.28055,461,0.3577526683913932,0.5669251754708289,-19,79.676467896,1.777495559733379,14.3,47.5,38.2,41.40820556,-73.28055,Connecticut,461,14652.09,70251.69744062518
412637074362301,41.4436111,-74.60638889,663,0.3553635168518905,0.5992663183689784,-19,143.278915405,1.9822538108002608,13.8,44.5,41.7,41.4436111,-74.60638889,New York,663,20665.129999999997,46861.055789627455
412714073331301,41.4541111,-73.5533611,546,0.3538833465306166,0.5604277249625482,-20,129.762207031,0.8450878168533854,11.9,49.4,38.6,41.4541111,-73.5533611,New York,546,17073.25,59857.926350822025
412823079030601,41.4734722,-79.0508333,846,0.3216339191493922,0.4212097684420162,10,541.47857666,2.651128225893958,23.1,29.6,47.3,41.4734722,-79.0508333,Pennsylvania,846,23514.11,87989.35776954828
412825072410501,41.47270556,-72.6839083,507,0.3461055346825035,0.4518733954705223,-10,50.09482193,3.306986710012105,14.1,45.3,40.6,41.47270556,-72.6839083,Connecticut,507,15969.68,97163.81042322588
412918071321001,41.48843449,-71.5356159,491,0.34405818376171404,0.582124132003861,-6,34.619823456,3.5739987806413995,,,,41.48843449,-71.5356159,Rhode Island,491,16599.0,33178.35609116477
412932071374302,41.49232259,-71.6281194,876,0.35146997943893576,0.5167406220430742,-8,34.017307281,2.0973023788054848,8.6,39.6,51.7,41.49232259,-71.6281194,Rhode Island,876,29280.75,58395.82644789663
413026076352901,41.50705556,-76.59025,1009,0.34325914709949745,0.6191895195223039,-54,322.415863037,8.138854833885905,14.2,39.6,46.2,41.50705556,-76.59025,Pennsylvania,1009,29269.160000000003,672391.1325240241
413346075421301,41.56291667,-75.7037222,723,0.3514268006004919,0.3486441333650774,-5,326.14175415,16.894150388567205,18.6,35.3,46.1,41.56291667,-75.7037222,Pennsylvania,723,21008.17,302467.1260690088
413358071433801,41.56621059,-71.72673449,631,0.3648689936399989,0.6175118214069265,-9,41.615364075,4.440315740940988,8.8,41.8,49.4,41.56621059,-71.72673449,Rhode Island,631,20770.010000000002,34276.80696184443
413535072253701,41.5931333,-72.4264222,328,0.336043035086774,0.5647307673622066,-14,78.468139648,1.5761355156041612,11.4,54.2,34.5,41.5931333,-72.4264222,Connecticut,328,9860.230000000001,60861.90000741937
413542080245002,41.5953333,-80.41375,770,0.306358329878589,0.5308669011971843,3,337.688446045,15.371658605597965,22.4,19.4,58.1,41.5953333,-80.41375,Pennsylvania,770,20109.430000000004,118810.66425689914
413801070322703,41.6337972,-70.5406759,214,0.32536745714043636,0.427773090580836,-8,15.356894493,1.8760948546824545,7.7,63.2,29.2,41.6337972,-70.5406759,Massachusetts,214,7018.6900000000005,10185.062727941762
413930070190901,41.65844369,-70.3186334,225,0.3471088932752755,0.5338336280045227,-2,16.267776489,7.5153927643658625,,,,41.65844369,-70.3186334,Massachusetts,225,6763.35,14414.53829888511
414101070011001,41.6836111,-70.0194444,361,0.33671444129679473,0.4951159908546505,-2,10.534871101,8.346878760056791,,,,41.6836111,-70.0194444,Massachusetts,361,10776.56,13820.624329560911
414129070361401,41.6914953,-70.60336388,380,0.32048219117433074,0.5465184045270248,0,18.38904953,10.035568945868947,6.5,61.2,32.4,41.6914953,-70.60336388,Massachusetts,380,11426.49,11600.648202832226
414159070310501,41.6999823,-70.5177476,385,0.33474660367864173,0.4950841703339621,1,50.64471817,29.196771329500223,5.7,58.5,35.9,41.6999823,-70.5177476,Massachusetts,385,11945.65,6872.782469574142
414159079213601,41.6994722,-79.3599444,926,0.31702415959559893,0.5129319840471325,-29,370.360656738,12.392171280722055,21.2,39.2,39.6,41.6994722,-79.3599444,Pennsylvania,926,25033.25,111507.69217753781
414330076280501,41.72341667,-76.4687222,720,0.34110084626877324,0.6216313734027427,-23,226.458282471,2.5367891600459247,20.4,27.7,51.9,41.72341667,-76.4687222,Pennsylvania,720,19492.1,258196.0764232565
414333075153201,41.7252222,-75.2585833,1067,0.3488643222250014,0.5491909000152673,-27,407.545959473,7.942025458543289,15.9,41.4,42.6,41.7252222,-75.2585833,Pennsylvania,1067,32132.82,209999.82183079649
